Actual Rating,Predicted Rating
3.8,3.8
3.7,3.585714286
3.6,3.675
3.5,3.5
3.9,3.825
3.6,3.6
3.4,3.4
4.1,4.125
3.9,3.34
3.8,3.92
3.7,3.7
3.5,3.52
3.1,3.25
3.7,3.8
3.9,3.928571429
3.9,3.814285714
4,4
4.6,3.8
2.8,2.8
3.4,3.5
3.5,3.475
2.8,2.8
3.3,3.3
3.8,3.86
4.1,4.1
3.7,3.555555556
3.4,3.4
3,3
4.4,4.4
3.5,3.416666667
4,4.08
3.4,3.554545455
3.8,3.8
3.3,3.3
3.8,3.8
3.6,3.4875
3.5,3.36
3.1,3.1
2.7,3.257142857
3.4,3.414285714
3.9,4.025
3.3,3.442857143
3.6,3.5
3.7,3.516666667
3.4,3.371428571
4.3,4.3
3.8,3.76
3.4,3.328571429
4.1,4.08
4.1,4.1
3.8,3.8
3.4,3.3
3.9,3.9
3.5,3.55
4,4
3.5,3.56
4,4
4.6,4.6
4,4.06
4.2,3.96
4.4,4.4
3.9,4.055555556
4.5,4.5
4.5,4.433333333
3.5,3.5
3.9,4
3.4,3.690909091
3.9,3.7
3.7,3.7
3.2,3.12
4.1,4
3.5,3.725
2.8,3.2
2.9,3.275
3.9,3.84
4.3,4.3
4.4,4.366666667
4.1,4.1
3.8,3.8
3.7,3.625
3.7,3.7
3.6,3.6
4.3,4
3.6,3.6
3.7,3.65
3.9,4.083333333
3.7,3.744444444
4.1,4.1
3.7,3.716666667
3.7,3.7
3.8,3.816666667
4.4,4.325
4.4,4.4
3.8,3.725
4.6,4.6
2.9,3.1
4.1,4.042857143
3.1,3.233333333
3.5,3.38
3.7,3.675
2.7,2.675
3.8,3.9
3.7,3.9
3.7,3.5
3.2,3.2
3.3,3.34
4.1,4.1
4.1,3.883333333
2.8,2.975
3.9,3.825
4.1,4.075
3.8,3.82
4,4
3.9,3.92
3.8,3.7
3.4,3.34
2.7,2.7
2.8,3.175
4,3.9
3.7,3.555555556
2.9,2.914285714
3.8,3.88
4.1,3.96
3.4,3.4
3.7,3.7
2.8,2.8
3.8,3.8
3.4,3.3
3.5,3.5
4,3.933333333
3.9,3.9
3.2,3.181818182
3.6,3.65
3.9,3.6
3.1,3.15
4.1,4.1
3.6,3.685714286
4.1,4.1
3.4,3.48
3.9,3.9
3.8,3.8
4,3.975
3.2,3.575
3.7,3.7
3.6,3.075
4.5,4.5
3.1,3.1
2.9,3.325
3.4,3.4
3.7,3.5
3.3,3.275
3.5,3.388888889
4.2,4.15
4.2,4.183333333
3.9,3.9
2.8,2.9375
3.1,3.36
3.7,3.866666667
3.7,3.7
3.3,3.3
3.6,3.6
3.2,3.2
3.2,3.3
3.5,3.571428571
4,4
3.9,3.9
3.9,3.9
3.8,3.716666667
4.1,4.1
4.3,4.366666667
3.8,3.8
4.3,4.3
3.6,3.6
3.9,3.9
3.2,3.2
2.7,3.616666667
4.1,4.1
3.7,3.728571429
4.2,4.2
4.1,4.1
3.5,3.68
4.2,4.2
3.6,3.516666667
3.4,3.4
3.3,3.266666667
3.5,3.475
3.6,3.64
4.1,4.125
4,4
2.9,2.925
2.7,2.875
3.4,3.4
3.3,3.3
3.3,3.25
2.8,2.772727273
3.7,3.833333333
4.2,4.2
3.8,3.9
3.3,3.3
4.2,4.2
3.6,3.6
3.2,3.216666667
3.9,3.9
3.9,3.96
3.5,3.18
3.5,3.5
3.6,3.54
4.1,4.15
4.4,4.4
3.9,3.94
4,4.05
3.9,3.45
4.2,4.185714286
3.2,3.242857143
3.8,3.85
3.7,3.7
3.8,3.725
2.9,2.942857143
3.6,3.6
3.3,3.3
3.8,3.8
3.7,3.7
3.4,3.516666667
2.6,2.633333333
3.3,3.255555556
2.3,2.94
4,4
4.3,4.175
4.4,4.4
3.1,3.083333333
3.3,3.15
4,3.92
3.9,3.866666667
4.2,4.185714286
3.6,3.6
3.8,3.825
3.8,3.8
4.1,4.18
3.6,3.625
3.9,3.871428571
3.2,3.2
3.9,3.033333333
3,3
3.7,3.716666667
3.9,3.78
4.4,4.4
3.5,3.414285714
3.8,3.7
3.6,3.663636364
3.5,3.5
3.1,3.0625
4.4,4.4
2.9,3.385714286
3.4,3.5125
3.9,3.9
3.8,3.85
3.7,3.7
3.6,3.6
4,3.96
3,3.075
2.3,2.94
3.6,3.6
3.9,4.066666667
4.2,4.2
3.3,3.145454545
4,4
3.8,3.8
4,3.975
4.1,4.1
3.4,3.4
4.3,4.3
3.4,3.38
3.2,3.2
2.7,2.6
3.8,3.771428571
3.8,3.8
2.2,2.55
4.2,4.2
3.3,3.2
3.3,3.3
3.5,3.55
4.4,4.4
4.1,4.1
3.8,3.828571429
3.6,3.425
3.1,3.1
3.4,3.4
4.1,4.1
3.2,3.4
4,4
3.8,3.733333333
4.5,4.5
3.3,3.34
3.1,3.228571429
