Actual Rating,Predicted Rating
3.8,3.797336024
3.7,3.578862255
3.6,3.567266189
3.5,3.494424829
3.9,3.734158818
3.6,3.57317046
3.4,3.425768102
4.1,4.159547276
3.9,3.389903159
3.8,3.87842109
3.7,3.68846916
3.5,3.498250804
3.1,3.260944492
3.7,3.694450254
3.9,3.925001399
3.9,3.96213625
4,3.992480102
4.6,4.239302276
2.8,2.814522581
3.4,3.44394371
3.5,3.281924798
2.8,3.002433799
3.3,3.367750739
3.8,4.021128325
4.1,4.087618893
3.7,3.66975975
3.4,3.367911228
3,3.025275985
4.4,4.115209443
3.5,3.481647447
4,3.816149587
3.4,3.462354637
3.8,3.805618331
3.3,3.317508394
3.8,3.638851906
3.6,3.593128931
3.5,3.535081138
3.1,3.16635007
2.7,3.447825715
3.4,3.378693718
3.9,3.972643493
3.3,3.254692711
3.6,3.499505207
3.7,3.523955755
3.4,3.295808304
4.3,4.277139549
3.8,3.720776496
3.4,3.331917059
4.1,4.06680941
4.1,4.088956937
3.8,3.851311404
3.4,3.434600459
3.9,3.898903412
3.5,3.565459302
4,3.955260909
3.5,3.493686569
4,4.010659239
4.6,4.610853407
4,4.078323357
4.2,4.019274856
4.4,4.397039625
3.9,3.911074306
4.5,4.487909896
4.5,4.266088955
3.5,3.462279486
3.9,3.856804589
3.4,3.551513139
3.9,3.76741347
3.7,3.65095006
3.2,3.138782184
4.1,3.954423148
3.5,3.589517662
2.8,3.42320871
2.9,3.44537506
3.9,3.840977278
4.3,4.29888064
4.4,4.380390157
4.1,4.103319783
3.8,3.811542568
3.7,3.511622951
3.7,3.70131056
3.6,3.577138997
4.3,4.187504266
3.6,3.523028716
3.7,3.379407307
3.9,3.984582315
3.7,3.744617738
4.1,4.10036753
3.7,3.705782933
3.7,3.575695967
3.8,3.76984193
4.4,4.138583838
4.4,4.397186295
3.8,3.675274517
4.6,4.563446563
2.9,3.167885314
4.1,4.101384831
3.1,3.13327128
3.5,3.29737154
3.7,3.675248728
2.7,3.087804689
3.8,3.79059595
3.7,3.716144538
3.7,3.581760518
3.2,3.308227401
3.3,3.341435093
4.1,4.044730577
4.1,3.71750326
2.8,3.051287835
3.9,3.780159713
4.1,3.953181946
3.8,3.75672999
4,3.997173393
3.9,3.914070598
3.8,3.685157995
3.4,3.310903801
2.7,2.716374391
2.8,3.189868675
4,3.743200785
3.7,3.700239372
2.9,2.902736792
3.8,3.851104367
4.1,3.993218964
3.4,3.406820907
3.7,3.679844133
2.8,2.96657373
3.8,3.770718182
3.4,3.427065751
3.5,3.400431725
4,3.886207477
3.9,3.897569437
3.2,3.206214394
3.6,3.519912358
3.9,3.400674081
3.1,3.174641683
4.1,4.104289321
3.6,3.605107372
4.1,4.100338615
3.4,3.381684052
3.9,3.91259869
3.8,3.794423781
4,3.947607509
3.2,3.670489476
3.7,3.692288189
3.6,3.51082776
4.5,4.500591439
3.1,3.125007171
2.9,3.281583155
3.4,3.425768102
3.7,3.53953822
3.3,3.262694008
3.5,3.473090918
4.2,4.064053993
4.2,4.144729117
3.9,3.913681765
2.8,3.31440189
3.1,3.435408071
3.7,3.659724626
3.7,3.722177241
3.3,3.28982594
3.6,3.570797288
3.2,3.205433685
3.2,3.309152451
3.5,3.505891789
4,4.009369171
3.9,3.898946521
3.9,3.899304424
3.8,3.559294845
4.1,4.093642959
4.3,4.306692437
3.8,3.765187655
4.3,4.313250359
3.6,3.58680532
3.9,3.859898893
3.2,3.211307
2.7,3.901266899
4.1,4.056135676
3.7,3.627714332
4.2,4.218418614
4.1,4.136624258
3.5,3.376063179
4.2,4.184025142
3.6,3.596881008
3.4,3.39881578
3.3,3.286591624
3.5,3.423610046
3.6,3.684581923
4.1,4.003116436
4,4.045696188
2.9,2.926647874
2.7,3.314762578
3.4,3.379811227
3.3,3.291128028
3.3,3.260047395
2.8,2.838685819
3.7,4.105529552
4.2,4.192476432
3.8,3.786611802
3.3,3.294911168
4.2,4.195886068
3.6,3.653823056
3.2,3.206153964
3.9,3.869738453
3.9,3.910252425
3.5,3.485549418
3.5,3.454524817
3.6,3.516607836
4.1,3.983343334
4.4,4.416421726
3.9,3.800924589
4,3.995307303
3.9,3.609539968
4.2,4.075285
3.2,3.247981002
3.8,3.691327173
3.7,3.682810989
3.8,3.777065829
2.9,3.195191457
3.6,3.630145073
3.3,3.296130223
3.8,3.783108407
3.7,3.707340179
3.4,3.50768938
2.6,2.929260275
3.3,3.270692596
2.3,3.213611343
4,3.967826938
4.3,4.136623911
4.4,4.388875456
3.1,3.099912577
3.3,3.41508285
4,3.897967862
3.9,3.848062559
4.2,4.070152203
3.6,3.595127041
3.8,3.665890268
3.8,3.678489998
4.1,4.09586218
3.6,3.531002079
3.9,3.897112965
3.2,3.205668427
3.9,3.475586384
3,3.003421657
3.7,3.639344134
3.9,3.846138151
4.4,4.391511971
3.5,3.501196355
3.8,3.686815467
3.6,3.566826139
3.5,3.490440411
3.1,3.269713792
4.4,4.39899444
2.9,3.434988792
3.4,3.491185942
3.9,3.893535107
3.8,3.602035736
3.7,3.697234951
3.6,3.561580248
4,4.057477887
3,3.161378161
2.3,3.213611343
3.6,3.596591399
3.9,4.086784395
4.2,4.188629209
3.3,3.38594599
4,4.01034809
3.8,3.818262718
4,3.926117385
4.1,4.114350107
3.4,3.397971144
4.3,4.279834752
3.4,3.55189883
3.2,3.238794668
2.7,2.744863328
3.8,3.723063001
3.8,3.790840389
2.2,2.819114134
4.2,4.228269217
3.3,3.362256573
3.3,3.322601548
3.5,3.558848081
4.4,4.392543559
4.1,4.067072482
3.8,3.680652811
3.6,3.601543438
3.1,3.134795776
3.4,3.505120199
4.1,4.129644162
3.2,3.451357243
4,4.028438441
3.8,3.744271941
4.5,4.500850635
3.3,3.285648938
3.1,3.18091367
4.6,4.498253571
4.4,4.371353006
3.5,3.462481439
3.4,3.278517251
3.9,3.898946521
3.5,3.487517978
3.8,3.728720006
4.2,4.197340867
4.5,4.47905203
